bld_key,unit_seq,ho_nm,flr_no,ho_nm_source_cd
1022129397,1,,,field
1022129397,2,,,field
1022129397,3,,,field
1022110054,1,,,field
1022110054,2,,,field
1022110054,3,,,field
1022110054,4,,,field
1022110054,5,,,field
1022119375,1,본가구,1,implicit
102215324,1,본가구,1,implicit
1022122276,1,,,field
1022122276,2,,,field
1022122276,3,,,field
1022122276,4,,,field
1022129111,1,101호,1,expos
1022129111,2,102호,1,expos
1022129111,3,103호,1,expos
1022129111,4,201호,2,expos
1022129111,5,202호,2,expos
1022129111,6,203호,2,expos
1022129111,7,301호,3,expos
1022129111,8,302호,3,expos
1022129111,9,303호,3,expos
1022129111,10,401호,4,expos
1022129111,11,402호,4,expos
1022129111,12,지하101호,1,expos
1022129111,13,지하102호,1,expos
1022134012,1,101,1,expos
1022134012,2,102,1,expos
1022134012,3,103,1,expos
1022134012,4,201,2,expos
1022134012,5,202,2,expos
1022134012,6,203,2,expos
1022134012,7,301,3,expos
1022134012,8,302,3,expos
1022134012,9,401,4,expos
1022115157,1,101호,1,expos
1022115157,2,102호,1,expos
1022115157,3,201호,2,expos
1022115157,4,202호,2,expos
1022115157,5,B01호,1,expos
1022115157,6,B02호,2,expos
1022133248,1,본가구,1,implicit
1022128637,1,본가구,1,implicit
1022112712,1,본가구,1,implicit
1022111832,1,본가구,1,implicit
1022120003,1,본가구,1,implicit
1022134326,1,본가구,1,implicit
1022132387,1,1층101호,1,expos
1022132387,2,2층201호,2,expos
1022132387,3,2층202호,2,expos
1022132387,4,3층301호,3,expos
1022132387,5,3층302호,3,expos
1022132387,6,4층401호,4,expos
1022132387,7,4층402호,4,expos
1022132387,8,지하B01호,1,expos
1022132387,9,지하B02호,1,expos
1022114160,1,,,field
1022114160,2,,,field
1022114160,3,,,field
1022114160,4,,,field
1022114160,5,,,field
1022114160,6,,,field
1022114160,7,,,field
1022114160,8,,,field
1022114619,1,본가구,1,implicit
1022119702,1,본가구,1,implicit
1022125294,1,본가구,1,implicit
102217040,1,본가구,1,implicit
1022124356,1,,,field
1022124356,2,,,field
1022124356,3,,,field
1022124356,4,,,field
1022124356,5,,,field
102214248,1,본가구,1,implicit
102213422,1,본가구,1,implicit
1022129819,1,본가구,1,implicit
1022125872,1,1층101호,1,expos
1022125872,2,1층102호,1,expos
1022125872,3,2층201호,2,expos
1022125872,4,2층202호,2,expos
1022125872,5,지하B01호,1,expos
1022125872,6,지하B02호,1,expos
1022126192,1,본가구,1,implicit
1022120369,1,,,field
1022120369,2,,,field
1022120369,3,,,field
1022122941,1,,,field
1022122941,2,,,field
1022122941,3,,,field
1022122941,4,,,field
1022122941,5,,,field
1022129564,1,본가구,1,implicit
1022129223,1,,,field
1022129223,2,,,field
1022129223,3,,,field
1022129223,4,,,field
1022129223,5,,,field
1022129223,6,,,field
1022129223,7,,,field
1022129223,8,,,field
1022129223,9,,,field
1022129223,10,,,field
1022129223,11,,,field
1022129223,12,,,field
1022129223,13,,,field
1022129223,14,,,field
102214300,1,,,field
102214300,2,,,field
10221971,1,,,field
10221971,2,,,field
1022123734,1,본가구,1,implicit
1022134933,1,본가구,1,implicit
1022128168,1,본가구,1,implicit
1022130230,1,본가구,1,implicit
1022133788,1,,,field
1022133788,2,,,field
1022133788,3,,,field
1022133788,4,,,field
1022129851,1,,,field
1022129851,2,,,field
1022129851,3,,,field
102216419,1,본가구,1,implicit
1022123285,1,본가구,1,implicit
102216095,1,본가구,1,implicit
102215978,1,본가구,1,implicit
102217381,1,본가구,1,implicit
1022119222,1,본가구,1,implicit
1022113106,1,,,field
1022113106,2,,,field
1022113106,3,,,field
1022113106,4,,,field
1022113106,5,,,field
1022129673,1,,,field
1022129673,2,,,field
1022129673,3,,,field
1022129673,4,,,field
1022129673,5,,,field
1022118734,1,본가구,1,implicit
1022119325,1,본가구,1,implicit
1022112757,1,,,field
1022110752,1,본가구,1,implicit
1022119162,1,본가구,1,implicit
1022135067,1,본가구,1,implicit
1022117064,1,본가구,1,implicit
1022116728,1,본가구,1,implicit
1022122283,1,본가구,1,implicit
1022128960,1,본가구,1,implicit
1022120534,1,본가구,1,implicit
1022121650,1,,,field
1022121650,2,,,field
1022121650,3,,,field
1022121650,4,,,field
1022133175,1,본가구,1,implicit
102214746,1,본가구,1,implicit
1022127655,1,본가구,1,implicit
1022119032,1,,,field
1022119032,2,,,field
1022119032,3,,,field
1022119165,1,본가구,1,implicit
102213424,1,본가구,1,implicit
102213423,1,본가구,1,implicit
1022134689,1,본가구,1,implicit
102219691,1,본가구,1,implicit
1022133812,1,본가구,1,implicit
1022114474,1,,,field
1022114474,2,,,field
1022114474,3,,,field
1022114474,4,,,field
1022114474,5,,,field
102216530,1,본가구,1,implicit
1022116602,1,,,field
1022116602,2,,,field
1022116602,3,,,field
1022116602,4,,,field
1022116602,5,,,field
1022126138,1,본가구,1,implicit
1022131596,1,본가구,1,implicit
102218889,1,본가구,1,implicit
102214266,1,본가구,1,implicit
1022117620,1,본가구,1,implicit
1022120203,1,본가구,1,implicit
102219925,1,,,field
102219925,2,,,field
102219925,3,,,field
102219925,4,,,field
102219925,5,,,field
102219925,6,,,field
1022128362,1,본가구,1,implicit
1022115086,1,본가구,1,implicit
1022123209,1,,,field
1022123209,2,,,field
1022123209,3,,,field
1022117784,1,본가구,1,implicit
1022121259,1,본가구,1,implicit
1022132552,1,본가구,1,implicit
1022124044,1,본가구,1,implicit
1022123023,1,본가구,1,implicit
1022120633,1,본가구,1,implicit
1022135141,1,본가구,1,implicit
1022117306,1,본가구,1,implicit
1022131443,1,,,field
1022131443,2,,,field
1022131443,3,,,field
1022131443,4,,,field
1022126433,1,본가구,1,implicit
1022122187,1,본가구,1,implicit
1022126116,1,본가구,1,implicit
102219309,1,본가구,1,implicit
1022130973,1,,,field
1022130973,2,,,field
1022130973,3,,,field
1022112837,1,1층01호,1,expos
1022112837,2,1층02호,1,expos
1022112837,3,2층01호,2,expos
1022112837,4,2층02호,2,expos
1022112837,5,3층01호,3,expos
1022112837,6,3층02호,3,expos
1022112837,7,지층01호,1,expos
1022112837,8,지층02호,1,expos
1022114058,1,본가구,1,implicit
102213873,1,본가구,1,implicit
1022120646,1,본가구,1,implicit
1022121522,1,,,field
1022121522,2,,,field
1022121522,3,,,field
1022121522,4,,,field
1022128342,1,,,field
1022128342,2,,,field
1022128342,3,,,field
1022128342,4,,,field
1022131614,1,,,field
1022131614,2,,,field
1022131614,3,,,field
1022125207,1,,,field
1022125207,2,,,field
1022125207,3,,,field
1022125207,4,,,field
102218482,1,,,field
102218482,2,,,field
102218482,3,,,field
102218482,4,,,field
1022131401,1,,,field
1022131401,2,,,field
1022131401,3,,,field
1022131401,4,,,field
102218039,1,,,field
102218039,2,,,field
102218039,3,,,field
102218039,4,,,field
102218746,1,본가구,1,implicit
1022110920,1,,,field
1022110920,2,,,field
1022110920,3,,,field
1022110920,4,,,field
1022110920,5,,,field
1022110920,6,,,field
1022110920,7,,,field
1022110920,8,,,field
1022110920,9,,,field
1022110920,10,,,field
1022110920,11,,,field
1022110920,12,,,field
1022110920,13,,,field
1022110920,14,,,field
1022110920,15,,,field
1022110920,16,,,field
1022110920,17,,,field
1022110920,18,,,field
1022110920,19,,,field
1022121754,1,,,field
1022121754,2,,,field
1022121754,3,,,field
1022121754,4,,,field
1022121754,5,,,field
1022121754,6,,,field
1022121754,7,,,field
1022121754,8,,,field
1022121754,9,,,field
1022121754,10,,,field
1022121754,11,,,field
1022121754,12,,,field
1022121754,13,,,field
1022121754,14,,,field
1022121754,15,,,field
1022121754,16,,,field
1022124026,1,001호,1,expos
1022124026,2,002호,1,expos
1022124026,3,101호,1,expos
1022124026,4,102호,1,expos
1022124026,5,201호,2,expos
1022124026,6,202호,2,expos
1022114048,1,,,field
1022114048,2,,,field
1022114048,3,,,field
1022114048,4,,,field
1022114048,5,,,field
1022114048,6,,,field
1022114048,7,,,field
1022114048,8,,,field
1022114048,9,,,field
1022123985,1,,,field
1022123985,2,,,field
1022131519,1,본가구,1,implicit
1022111695,1,,,field
1022111695,2,,,field
1022111695,3,,,field
1022115921,1,본가구,1,implicit
1022117971,1,,,field
1022117971,2,,,field
1022117971,3,,,field
1022117971,4,,,field
1022117971,5,,,field
1022117971,6,,,field
1022135115,1,본가구,1,implicit
1022117658,1,,,field
1022117658,2,,,field
1022117658,3,,,field
1022117658,4,,,field
1022117993,1,,,field
1022117993,2,,,field
1022126569,1,,,field
1022126569,2,,,field
1022126569,3,,,field
1022134876,1,,,field
1022134876,2,,,field
1022134876,3,,,field
1022134876,4,,,field
1022134876,5,,,field
1022134876,6,,,field
1022115017,1,본가구,1,implicit
1022112913,1,본가구,1,implicit
1022121343,1,,,field
1022121343,2,,,field
1022121343,3,,,field
102214324,1,본가구,1,implicit
102213841,1,,,field
1022111935,1,,,field
1022111935,2,,,field
1022111935,3,,,field
1022111935,4,,,field
102217593,1,,,field
102217593,2,,,field
102217593,3,,,field
102217593,4,,,field
102217593,5,,,field
1022112068,1,본가구,1,implicit
1022114813,1,본가구,1,implicit
102216005,1,,,field
102216005,2,,,field
102216005,3,,,field
1022120316,1,본가구,1,implicit
1022110861,1,본가구,1,implicit
1022116264,1,본가구,1,implicit
1022121921,1,본가구,1,implicit
1022113075,1,본가구,1,implicit
1022121766,1,본가구,1,implicit
1022120604,1,본가구,1,implicit
1022120011,1,본가구,1,implicit
1022115712,1,본가구,1,implicit
1022113607,1,본가구,1,implicit
1022119949,1,101,1,expos
1022119949,2,102,1,expos
1022119949,3,103,1,expos
1022119949,4,104,1,expos
1022119949,5,201,2,expos
1022119949,6,202,2,expos
1022119949,7,203,2,expos
1022119949,8,204,2,expos
1022119949,9,301,3,expos
1022119949,10,302,3,expos
1022119949,11,303,3,expos
1022119949,12,304,3,expos
1022119949,13,401,4,expos
1022119949,14,402,4,expos
1022119949,15,403,4,expos
1022119949,16,404,4,expos
1022119949,17,B01,1,expos
1022122717,1,,,field
1022122717,2,,,field
1022122717,3,,,field
1022130000,1,,,field
1022130000,2,,,field
1022130000,3,,,field
1022118290,1,101,1,expos
1022118290,2,201,2,expos
1022118290,3,301,3,expos
1022118290,4,B01,1,expos
1022118290,5,B02,1,expos
1022119392,1,본가구,1,implicit
1022112368,1,본가구,1,implicit
1022112645,1,본가구,1,implicit
1022129346,1,본가구,1,implicit
1022115113,1,본가구,1,implicit
1022135131,1,본가구,1,implicit
1022111674,1,본가구,1,implicit
1022133773,1,101,1,expos
1022133773,2,102,1,expos
1022133773,3,201,2,expos
1022133773,4,B01,1,expos
1022133773,5,B02,1,expos
1022117321,1,제101호,1,expos
1022117321,2,제102호,1,expos
1022117321,3,제103호,1,expos
1022117321,4,제105호,1,expos
1022117321,5,제106호,1,expos
1022117321,6,제107호,1,expos
1022117321,7,제201호,2,expos
1022117321,8,제202호,2,expos
1022117321,9,제203호,2,expos
1022117321,10,제205호,2,expos
1022117321,11,제206호,2,expos
1022117321,12,제207호,2,expos
1022117321,13,지하층,1,expos
102218926,1,101호,1,expos
102218926,2,201호,2,expos
102218926,3,B01호,1,expos
1022132187,1,본가구,1,implicit
1022123863,1,본가구,1,implicit
102216332,1,1층102호,1,expos
102216332,2,2층201호,2,expos
102216332,3,2층202호,2,expos
102216332,4,3층301호,3,expos
102216332,5,3층302호,3,expos
102216332,6,4층401호,4,expos
102216332,7,4층402호,4,expos
102216332,8,지하B01호,1,expos
102216332,9,지하B02호,1,expos
1022118425,1,,,field
1022118425,2,,,field
1022118425,3,,,field
102218234,1,,,field
102218234,2,,,field
102218234,3,,,field
1022128996,1,본가구,1,implicit
1022129182,1,,,field
1022129182,2,,,field
1022129182,3,,,field
1022129182,4,,,field
1022121047,1,,,field
1022121047,2,,,field
1022121047,3,,,field
1022121047,4,,,field
1022121047,5,,,field
1022121047,6,,,field
1022132297,1,,,field
1022132297,2,,,field
1022132297,3,,,field
1022131789,1,본가구,1,implicit
1022124962,1,본가구,1,implicit
1022124991,1,본가구,1,implicit
102218888,1,본가구,1,implicit
1022128421,1,본가구,1,implicit
1022129820,1,본가구,1,implicit
1022126040,1,본가구,1,implicit
1022114762,1,본가구,1,implicit
1022120700,1,본가구,1,implicit
1022111452,1,본가구,1,implicit
102214228,1,본가구,1,implicit
1022110555,1,본가구,1,implicit
1022131232,1,본가구,1,implicit
1022120459,1,,,field
1022120459,2,,,field
102213427,1,본가구,1,implicit
102213428,1,본가구,1,implicit
1022121699,1,본가구,1,implicit
1022115755,1,,,field
1022115755,2,,,field
1022115755,3,,,field
1022115755,4,,,field
1022115674,1,본가구,1,implicit
1022121688,1,본가구,1,implicit
1022116305,1,본가구,1,implicit
102218738,1,본가구,1,implicit
1022131748,1,,,field
1022131748,2,,,field
1022131748,3,,,field
1022131748,4,,,field
1022130049,1,본가구,1,implicit
1022133280,1,본가구,1,implicit
1022126136,1,,,field
1022126136,2,,,field
1022126136,3,,,field
1022125474,1,,,field
1022125474,2,,,field
1022125474,3,,,field
1022125474,4,,,field
1022125474,5,,,field
1022117346,1,본가구,1,implicit
1022130338,1,본가구,1,implicit
1022124197,1,,,field
1022124197,2,,,field
1022124197,3,,,field
1022124197,4,,,field
1022124197,5,,,field
1022117037,1,본가구,1,implicit
102216092,1,본가구,1,implicit
1022129566,1,,,field
1022129566,2,,,field
1022129566,3,,,field
1022129566,4,,,field
1022129566,5,,,field
1022129566,6,,,field
1022111446,1,본가구,1,implicit
1022125486,1,,,field
1022125486,2,,,field
1022125486,3,,,field
1022110739,1,본가구,1,implicit
102218834,1,본가구,1,implicit
1022126592,1,본가구,1,implicit
1022117566,1,,,field
1022117566,2,,,field
1022117566,3,,,field
1022117566,4,,,field
1022117566,5,,,field
1022118219,1,,,field
1022118219,2,,,field
1022118219,3,,,field
1022118219,4,,,field
1022118219,5,,,field
1022111568,1,본가구,1,implicit
1022115643,1,본가구,1,implicit
1022121648,1,,,field
1022121648,2,,,field
1022121648,3,,,field
1022121648,4,,,field
1022123786,1,본가구,1,implicit
1022110039,1,본가구,1,implicit
102215966,1,본가구,1,implicit
102217732,1,본가구,1,implicit
1022125732,1,,,field
1022125732,2,,,field
1022125732,3,,,field
1022125732,4,,,field
1022124993,1,본가구,1,implicit
1022113605,1,본가구,1,implicit
1022125274,1,본가구,1,implicit
1022119000,1,,,field
1022119000,2,,,field
1022119000,3,,,field
1022119000,4,,,field
1022134266,1,본가구,1,implicit
102217253,1,본가구,1,implicit
1022128051,1,본가구,1,implicit
102215784,1,,,field
102215784,2,,,field
102215784,3,,,field
102215784,4,,,field
1022118497,1,본가구,1,implicit
1022135317,1,본가구,1,implicit
1022111642,1,본가구,1,implicit
102216958,1,본가구,1,implicit
1022117654,1,본가구,1,implicit
1022123012,1,본가구,1,implicit
1022112528,1,본가구,1,implicit
1022123809,1,본가구,1,implicit
1022119123,1,본가구,1,implicit
1022118327,1,본가구,1,implicit
1022130223,1,본가구,1,implicit
1022118558,1,본가구,1,implicit
1022119363,1,,,field
1022119363,2,,,field
1022119363,3,,,field
1022122052,1,본가구,1,implicit
1022112779,1,1층,1,expos
1022112779,2,2층,2,expos
1022112779,3,지층,1,expos
102219395,1,본가구,1,implicit
1022120461,1,본가구,1,implicit
1022112423,1,본가구,1,implicit
1022115249,1,본가구,1,implicit
1022118435,1,,,field
1022118435,2,,,field
1022118435,3,,,field
1022118435,4,,,field
102219050,1,본가구,1,implicit
1022111222,1,본가구,1,implicit
1022122224,1,본가구,1,implicit
1022129635,1,본가구,1,implicit
1022114472,1,본가구,1,implicit
1022134420,1,,,field
1022134420,2,,,field
1022117060,1,본가구,1,implicit
1022111417,1,,,field
1022111417,2,,,field
1022111417,3,,,field
1022111417,4,,,field
1022115478,1,본가구,1,implicit
1022110871,1,본가구,1,implicit
1022124860,1,본가구,1,implicit
1022128086,1,,,field
1022128086,2,,,field
1022128086,3,,,field
1022113294,1,,,field
1022113294,2,,,field
1022113294,3,,,field
1022113294,4,,,field
1022132564,1,본가구,1,implicit
1022120360,1,본가구,1,implicit
1022123274,1,,,field
1022123274,2,,,field
1022123274,3,,,field
1022123274,4,,,field
1022123274,5,,,field
1022123274,6,,,field
1022123274,7,,,field
1022123274,8,,,field
1022123274,9,,,field
1022124795,1,,,field
1022124795,2,,,field
1022124795,3,,,field
1022124795,4,,,field
1022116076,1,,,field
1022116076,2,,,field
1022116076,3,,,field
1022116076,4,,,field
1022116076,5,,,field
1022132921,1,,,field
1022132921,2,,,field
1022132921,3,,,field
1022132921,4,,,field
1022111805,1,본가구,1,implicit
1022134023,1,,,field
1022134023,2,,,field
1022134023,3,,,field
1022131943,1,,,field
1022131943,2,,,field
1022131943,3,,,field
1022131943,4,,,field
1022112248,1,본가구,1,implicit
102213916,1,본가구,1,implicit
1022133593,1,,,field
1022133593,2,,,field
1022133593,3,,,field
1022133593,4,,,field
102219314,1,본가구,1,implicit
1022122252,1,,,field
1022122252,2,,,field
1022122252,3,,,field
1022122252,4,,,field
1022122252,5,,,field
102215640,1,,,field
102215640,2,,,field
102215640,3,,,field
102215640,4,,,field
102215640,5,,,field
102217585,1,,,field
102217585,2,,,field
102217585,3,,,field
102217585,4,,,field
1022119154,1,본가구,1,implicit
1022135120,1,본가구,1,implicit
1022111768,1,,,field
1022111768,2,,,field
1022111768,3,,,field
1022111768,4,,,field
1022111768,5,,,field
1022131871,1,,,field
1022131871,2,,,field
1022131871,3,,,field
1022131871,4,,,field
1022131871,5,,,field
102213112,1,1층101호,1,expos
102213112,2,1층102호,1,expos
102213112,3,1층103호,1,expos
102213112,4,1층104호,1,expos
102213112,5,1층105호,1,expos
102213112,6,1층106호,1,expos
102213112,7,1층107호,1,expos
102213112,8,1층108호,1,expos
102213112,9,2층201호,2,expos
102213112,10,2층202호,2,expos
102213112,11,2층203호,2,expos
102213112,12,2층204호,2,expos
102213112,13,2층205호,2,expos
102213112,14,2층206호,2,expos
102213112,15,2층207호,2,expos
102213112,16,2층208호,2,expos
102213112,17,3층301호,3,expos
102213112,18,3층302호,3,expos
102213112,19,3층303호,3,expos
102213112,20,3층304호,3,expos
102213112,21,3층305호,3,expos
102213112,22,3층306호,3,expos
102213112,23,3층307호,3,expos
102213112,24,3층308호,3,expos
102213113,1,1층101호,1,expos
102213113,2,1층102호,1,expos
102213113,3,1층103호,1,expos
102213113,4,1층104호,1,expos
102213113,5,1층105호,1,expos
102213113,6,1층106호,1,expos
102213113,7,1층107호,1,expos
102213113,8,1층108호,1,expos
102213113,9,1층109호,1,expos
